	Feces_Avg	Feces_STDEV.P	Oral_Avg	Oral_STDEV.P	Skin_Avg	Skin_STDEV.P
*-80C	9447	5203	7292	5531	4124.6	2396
LN2	9622	2925.6	2843	2061.8	5681	3271.8
Phen/Cl	10549	5657	1941	1645	1445	1350
Fresh	6608	3392	5043	2323	4344	3015
						
#CompleteData						
Feces						
*-80C	SampleID	host_subject_id	NumberofSequences			
	4	1	18045			
	16	4	12129			
	20	5	7648			
	8	2	6458			
	12	3	2959			
						
LN2	2	1	13388			
	18	5	10339			
	6	2	9556			
	10	3	5202			
	14	4	0			
						
Phen/Cl	15	4	19284			
	3	1	10275			
	7	2	9134			
	19	5	3503			
	11	3	49			
						
Fresh	17	5	10776			
	13	4	8033			
	5	2	7790			
	9	3	5846			
	1	1	594			
						
Oral						
*-80C	SampleID	host_subject_id	NumberofSequences			
	40	5	16071			
	28	7	11549			
	36	3	3739			
	32	2	2868			
	24	6	2237			
						
LN2	30	2	4886			
	34	3	3624			
	22	6	20			
	38	5	0			
	26	7	0			
						
Phen/Cl	27	7	4784			
	39	5	2461			
	31	2	1706			
	23	6	719			
	35	3	34			
						
Fresh	21	6	7876			
	29	2	6403			
	37	5	5763			
	25	7	4090			
	33	3	1082			
						
Skin						
*-80C	SampleID	host_subject_id	NumberofSequences			
	52	2	8327			
	60	5	4196			
	56	3	3727			
	44	6	3482			
	48	7	891			
						
LN2	50	2	9590			
	42	6	9344			
	54	3	4779			
	46	7	3286			
	58	5	1406			
						
Phen/Cl	51	2	6409			
	55	3	466			
	43	6	314			
	59	5	20			
	47	7	17			
						
Fresh	53	3	7389			
	57	5	6958			
	49	2	5979			
	45	7	886			
	41	6	510			

